store,item,error_std,mae,wape,mean_forecast,mean_actual
1,1,4.848283935662042,3.9326728310993704,17.72786937571039,22.29250332482868,22.183561643835617
1,2,8.061403164935955,6.355685723519539,10.630185075766995,59.73453710040247,59.78904109589041
1,3,6.483179994695064,5.106181878596762,13.657895249067991,37.53777746523214,37.38630136986301
1,4,4.768720624260754,3.8141290480508823,17.233932935609953,22.345550944803712,22.13150684931507
1,5,4.265840035984461,3.3557816214768947,17.949300876891364,18.96879977031259,18.695890410958903
1,6,8.091163270529536,6.519841830812231,10.92426674736717,59.86396218255082,59.68219178082192
1,7,7.834668322085465,6.343304575687064,10.734913622615812,59.14010403525759,59.09041095890411
1,8,9.372111690243985,7.475711864262517,9.543684482724698,78.49654650296168,78.33150684931506
1,9,7.429513833162748,6.0041138889649055,11.578705391621444,51.9420119440475,51.85479452054795
1,10,9.18195622256074,7.426241888052015,9.859157927977979,75.26229061328571,75.32328767123288
1,11,8.40519300460205,6.60266869214027,9.249564661796962,71.52415335039213,71.38356164383562
1,12,8.273815247762101,6.725901135318837,9.390482784651248,71.55226332813143,71.62465753424658
1,13,9.640720776942056,7.433809648901703,8.691033061656379,85.62539262004631,85.53424657534246
1,14,7.552113535766475,5.900799581947719,9.887489544190045,59.61697446254504,59.679452054794524
1,15,9.346031484825305,7.456613774093762,8.266002634830295,90.28135877317723,90.20821917808219
1,16,5.494924349848432,4.350029054499153,16.685168189283218,26.14881078087735,26.07123287671233
1,17,5.80569734982809,4.587648966995712,13.77502363403615,33.32859271355238,33.3041095890411
1,18,9.903464129743998,8.073911225440362,9.413760093549696,85.96734938285579,85.76712328767124
1,19,6.595310659467875,5.214701713366199,12.555185523605955,41.61464143539799,41.534246575342465
1,20,7.429786688771698,5.738997486421987,11.837999901350805,48.597092064297364,48.47945205479452
1,21,6.435669979460788,5.10010805084603,12.503623311114998,40.84613342718284,40.78904109589041
1,22,9.57160631428681,7.3660898652685445,9.024949819821487,81.86789694477669,81.61917808219178
1,23,5.509814517049904,4.242324024723133,14.108868054887866,30.109609080040936,30.068493150684933
1,24,8.600092340524789,6.758385315301746,10.08178290046239,67.4017959921655,67.03561643835616
1,25,9.122520335691755,7.310468029180824,8.938798802891029,81.88830839490441,81.78356164383561
1,26,7.019826391386654,5.672471086405772,11.579708873255631,48.92631114795468,48.986301369863014
1,27,4.91380527735089,3.9907204393072577,17.811359260786855,22.49523795916364,22.405479452054795
1,28,10.415059512758106,8.411682803638394,9.392346732319783,89.61963254717085,89.55890410958904
1,29,8.821003404775913,7.055533108885439,9.899171957498309,71.2171805867682,71.27397260273973
1,30,6.586321610457318,5.189080908348403,12.495972366214735,41.64535930887401,41.52602739726027
1,31,7.7035168134394825,6.144030331141827,10.291744244455101,59.79402542472609,59.6986301369863
1,32,6.900588645370816,5.432740683908752,12.072757075352781,45.13773356733794,45.0
1,33,9.085949868025361,7.152745312422036,10.05643865426618,71.10980873199983,71.12602739726027
1,34,5.377061941735693,4.29979135638,16.402841190203805,26.364329207233475,26.213698630136985
1,35,7.966722663921611,6.246423804043382,9.320352744975205,67.1368589463717,67.01917808219179
1,36,9.19292110007391,7.360389358750713,9.463320708527986,77.97778445794054,77.77808219178083
1,37,6.206735216482405,5.043427930499246,17.040185084071318,29.658373818154857,29.5972602739726
1,38,10.571814242420325,8.335263663318623,10.03552987568049,83.35920863097401,83.05753424657534
1,39,7.356671414592086,5.8002207052008945,12.971512513928843,44.792444926087924,44.71506849315068
1,40,5.286203857790509,4.303532597221477,14.422820659129917,30.01755858832442,29.838356164383562
1,41,4.907668586007975,3.872773949298134,17.230162012357617,22.621307325538332,22.476712328767125
